,idRegiao,idAreaAviso,idConcelho,globalIdLocal,latitude,idDistrito,local,longitude
0,1,AVR,5,1010500,40.6413,1,Aveiro,-8.6535
1,1,BJA,5,1020500,38.0200,2,Beja,-7.8700
2,1,BRG,3,1030300,41.5475,3,Braga,-8.4227
3,1,BGC,2,1040200,41.8076,4,Bragança,-6.7606
4,1,CBO,2,1050200,39.8217,5,Castelo Branco,-7.4957
5,1,CBR,3,1060300,40.2081,6,Coimbra,-8.4194
6,1,EVR,5,1070500,38.5701,7,Évora,-7.9104
7,1,FAR,5,1080500,37.0146,8,Faro,-7.9331
8,1,GDA,7,1090700,40.5379,9,Guarda,-7.2647
9,1,LRA,9,1100900,39.7473,10,Leiria,-8.8069
10,1,LSB,6,1110600,38.7660,11,Lisboa,-9.1286
11,1,PTG,14,1121400,39.2900,12,Portalegre,-7.4200
12,1,PTO,12,1131200,41.1580,13,Porto,-8.6294
13,1,STM,16,1141600,39.2000,14,Santarém,-8.7400
14,1,STB,12,1151200,38.5246,15,Setúbal,-8.8856
15,1,VCT,9,1160900,41.6952,16,Viana do Castelo,-8.8365
16,1,VRL,14,1171400,41.3053,17,Vila Real,-7.7440
17,1,VIS,23,1182300,40.6585,18,Viseu,-7.9120
18,2,MCS,3,2310300,32.6485,31,Funchal,-16.9084
19,2,MPS,1,2320100,33.0700,32,Porto Santo,-16.3400
20,3,AOR,1,3410100,36.9563,41,Vila do Porto,-25.1409
21,3,AOR,3,3420300,37.7415,42,Ponta Delgada,-25.6677
22,3,ACE,1,3430100,38.6700,43,Angra do Heroísmo,-27.2200
23,3,ACE,1,3440100,39.0800,44,Santa Cruz da Graciosa,-28.0000
24,3,ACE,2,3450200,38.6842,45,Velas,-28.2133
25,3,ACE,2,3460200,38.5325,46,Madalena,-28.5237
26,3,ACE,1,3470100,38.5363,47,Horta,-28.6315
27,3,AOC,2,3480200,39.4500,48,Santa Cruz das Flores,-31.1300
28,3,AOC,1,3490100,39.6700,49,Vila do Corvo,-31.1200
